candidate_id,full_name,email,phone,age,graduation_year,institute,degree,major,current_city,applied_role,current_title,career_path,total_experience,num_employers,company_type,company_size,skills,certifications,technical_assessment,aptitude_score,last_rating,kpi_met,awards,trainings_last_year,training_hours,recruitment_channel,last_job_change,currently_enrolled,overtime_history,current_ctc,expected_ctc,notice_period,recruiter_note,post_hire_score
CH-OTWKAL,Rajat Rana,rajat.rana649@hotmail.com,+91 8856087479,30,2021,University of North Bengal,BE,STEM,Madras,QA Automation Engineer,QA Engineer II,QA Engineer I [27 mo] | QA Engineer II [21 mo],4.0,1,Public Sector,,"Java Script,redis,PYTHON,Java,ci-cd,HTML",Coursera ML Specialization,68/100,5.9,1,no,0,1,48,Referral,1,no_enrollment,No,16.4 lpa,"$25,496",Immediate,,46.7
CH-HNB6WY,Utkarsh Advani,utkarsh.advani870@gmail.com,+91 7498287894,38,2009,Indus University,BE,STEM,Nagpur,DevOps / SRE,Manager - Infrastructure,Trainee (2.4 yrs) -> Intern (1.8 yrs) -> Trainee DevOps Engineer (3.8 yrs) -> Apprentice (2.8 yrs) -> Lead DevOps Engineer (3.3 yrs) -> Manager - Infrastructure (2.0 yrs),16+ yrs,1,,,Core Java | K8s | CICD | Unix/Linux | containers (docker) | Postgres | python 3 | IaC (Terraform) | Dart/Flutter | Microservices,NPTEL DSA (Elite); Oracle Java SE,57,8.3,4/5,No,0,2,11,Sourcing,2,no_enrollment,No,INR 41.6 lakh,51.02L,2 months,,63.2
CH-W8MCEF,Urshita Tyagi,urshita.tyagi221@gmail.com,+91 9844649221,40,2015,Atharva College of Engineering,M.Tech,STEM,Dehradun,Data Engineer,Data Engineer,Junior Data Engineer [36 mo] → Data Engineer [16 mo] → Data Engineer [71 mo],10.3 years,3,Pvt Ltd,10000+,kubernetes | AWS (EC2/S3) | Structured Query Language | git | python | Postgres,Google Professional Data Engineer,57,48%,2,1,0,1,85,Referral,>4,no_enrollment,No,"₹26,80,000",3061000,2 months,Prefers product companies.,75.9
CH-M34JIV,Marutanjali Mondal,marutanjali.mondal814@yahoo.co.in,+91 8165751918,40,2016,INDIAN INSTITUTE OF TECHNOLOGY DELHI,M.Tech,STEM,Noida,DevOps / SRE,Sr. DevOps Engineer,Junior DevOps Engineer (1.9y) > Associate DevOps Engineer (0.6y) > DevOps Engineer (1.0y) > DevOps Engineer II (2.8y) > DevOps Engineer III (2.9y),9.1 years,2,Pvt Ltd,100-500,Postgres; CICD; EKS/GKE; AWS,AWS Certified Solutions Architect,47.0 %,7.1,Exceeds Expectations,TRUE,0,1,144,Sourcing,1,no_enrollment,Yes,24.7 LPA,28.4 LPA,60 days,Needed frequent guidance during design discussions.,46.0
CH-SFUQC5,Sonu Mishra,sonu.mishra484@gmail.com,+91 7562122480,38,2011,Sikha 'O' Anushandhan University,BCA,STEM,Visakhapatnam,Product Analyst,VP Product,Trainee Product Analyst (2.1y) → Junior Product Analyst (3.1y) → Product Analyst II (1.1y) → Product Analyst II (1.1y) → Product Analyst III (3.3y) → Principal Product Analyst (1.8y) → Head of Product (1.6y),14.2 years,4,Pvt Ltd,10/49,MS Excel | AB testing | tensorflow | aws | PySpark | PYTHON,Oracle Java SE,39,5.5,3,No,0,2,39,Walk-in,1,no_enrollment,No,INR 71.1 lakh,70.98L,45 days,Shipped a feature used by 1M+ users.,19.2
CH-9A96QE,Nitish Ambedkar,nitish.ambedkar369@yahoo.co.in,+91 6193029388,39,2008,Jain Vishva Bharati Institute,BCA,STEM,Chennai,DevOps / SRE,VP Infrastructure,DevOps Engineer Intern (1.4y) > Trainee (3.1y) > Trainee (2.9y) > DevOps Engineer II (2.1y) > DevOps Engineer II (4.8y) > DevOps Engineer Lead (1.5y) > Head of Infrastructure (1.1y),16.9 years,3,Funded Startup,<10,"google cloud platform, Bash/Linux, terraform, kafka, Kubernetes, docker, PANDAS, nlp, PYTHON, git, Microservices, Redis, Amazon Web Services, Go",TensorFlow Developer; NPTEL DSA (Elite); Coursera ML Specialization,75.0 %,7.7,3,N,0,1,52,Employee Referral,1,no_enrollment,Yes,38.7 LPA,"₹52,36,000",Serving notice - 15 days,Shipped a feature used by 1M+ users. Mentored two junior engineers; strong communicator.,90.1
CH-WHXDPB,Nripendra Kadam,nripendra.kadam213@hotmail.com,+91 9428299490,35,2012,Assam University,Master of Technology,Humanities,Hyderabad,Data Scientist,Staff Data Scientist,Data Scientist I (2.2 yrs) | Data Scientist (1.5 yrs) | Sr. Data Scientist (1.7 yrs) | Senior Data Scientist (4.1 yrs) | Data Scientist Lead (1.1 yrs) | Staff Data Scientist (1.1 yrs) | Lead Data Scientist (1.2 yrs),12.8,7,Funded Startup,<10,scikit-learn; SQL; Statistical Modelling; A/B testing; ci-cd; PyTorch; pandas; golang,,34/100,,Unsatisfactory,no,0,1,150,LinkedIn,1,no_enrollment,No,"₹29,20,000",INR 34.4 lakh,1 month,Consistently delivered ahead of sprint commitments.,42.9
CH-1T9QS7,Pritika Kapoor,pritika.kapoor388@outlook.com,+91 9998637793,50,1999,Mahatma Jyotiba Phule Rohilkhand University Bareilly,BCA,STEM,Gurgaon,Product Analyst,Head of Product,Trainee Product Analyst [24 mo] > Junior Product Analyst [29 mo] > Product Analyst II [67 mo] > Senior Product Analyst [25 mo] > Sr. Product Analyst [81 mo] > Head of Product [86 mo],26 years,1,Pvt Ltd,500-999,"experimentation, Apache Airflow, Excel, python, Statistics, NodeJS, T-SQL",TensorFlow Developer; Azure Fundamentals,29,39%,4.0,N,0,1,65,Job Portal,>4,no_enrollment,No,5.12 Cr,7.17 Cr,2 months,Struggled with the debugging exercise. Currently exploring 2-3 other offers.,40.8
CH-FIVM6A,Vedika Sinha,vedika.sinha92@yahoo.co.in,+91 6955625889,31,2022,Indian Institute of Technology Kanpur,BCA,STEM,Noida,Product Analyst,Product Analyst I,Junior Product Analyst (1.2y) > Associate Product Analyst (1.6y),34 months,1,,,"SciKit-Learn, PYTHON, Advanced Excel, split testing, Kotlin, stats, kubernetes",Azure Fundamentals; Scrum Master (CSM); NPTEL DSA (Elite),43,3.2/10,5,Yes,None,1,66,Employee Referral,1,Full time course,No,"₹9,37,000",9.0 LPA,45 days,Interested in the Bengaluru office.,43.2
CH-656HIM,Rohini Trivedi,rohini.trivedi476@outlook.com,+91 6460856215,30,2018,Rajalakshmi Institute of Technology,BE,STEM,Chennai,Data Scientist,Senior Data Scientist,Junior Data Scientist (1.2 yrs) | Data Scientist (1.6 yrs) | Data Scientist III (4.1 yrs) | Senior Data Scientist (1.1 yrs),95 months,6,Pvt Ltd,<10,sklearn | Python | Statistical Modelling | T-SQL,TensorFlow Developer,74,5.1,4,No,0,1,70,LinkedIn,1,no_enrollment,No,23.99L,INR 30.6 lakh,15 days,,66.2
CH-TQ2SCK,Urjita Lakhotia,urjita.lakhotia486@gmail.com,+91 7292116101,,2016,COER University Roorkee,B.Tech,STEM,Ahmedabad,Mobile Engineer,Mobile Developer,Intern (3.7 yrs) → Intern (1.9 yrs) → Mobile Developer (0.6 yrs),6.2 years,1,Pvt Ltd,1000-4999,micro-services; kotlin; rest api; flask; Android SDK; swift; Flutter; Git,Azure Fundamentals; ISTQB Foundation,88,7.4,New joiner - not rated,FALSE,0,3,141,Walk-in,1,Part time course,No,INR 18.8 lakh,2551000,Serving notice - 15 days,Handled 24x7 on-call for core APIs; led root-cause analysis for outages.,69.3
CH-XPW8BY,Sudevi Thakkar,sudevi.thakkar240@rediffmail.com,+91 6946641518,46,2002,University of Jammu,PhD,STEM,Pune,Product Analyst,VP Product,"Associate Product Analyst (2.2y) -> Product Analyst II (3.3y) -> Lead Product Analyst (1.4y) -> Tech Lead (0.9y) -> Head of Product (1.3y) -> Director, Product (6.8y)",16+ yrs,3,Pvt Ltd,50-99,T-SQL; pytorch; experimentation; PYTHON; stats; airflow; MongoDB; google cloud platform; CPP; Advanced Excel; SciKit-Learn,TensorFlow Developer,45,3.9,4,N,0,1,42,Employee Referral,>4,no_enrollment,No,45.3 LPA,65.5 LPA,15 days,,60.9
CH-26BZIJ,Sanidhya Gaharwar,sanidhya.gaharwar355@hotmail.com,+91 9969266728,48,2013,Christ University,B.E.,STEM,Gurgaon,ML Engineer,Staff ML Engineer,ML Engineer I (0.6 yrs) → ML Engineer I (4.9 yrs) → ML Engineer Lead (3.9 yrs) → Staff ML Engineer (2.3 yrs),11.7 years,1,,,pandas; Airflow; PyTorch; SciKit-Learn; Dockerization,TensorFlow Developer,50,6.1,4,No,None,1,306,Job Portal,1,no_enrollment,No,41.9 LPA,49.8 lpa,Serving notice - 30 days,Prefers hybrid work.,22.8
CH-O8FD9S,Siddharth Rawal,siddharth.rawal908@gmail.com,+91 9256652946,51,2017,Netaji Subhas University of Technology,Bachelor of Technology,Other,Delhi,Mobile Engineer,Senior Mobile Developer,Trainee Mobile Developer (1.8y) | Associate Mobile Developer (1.9y) | Trainee (1.6y) | Sr. Mobile Developer (0.9y),6.2 yrs,1,Pvt Ltd,50-99,"rest api, Kotlin, Swift, selenium, Java Script, flutter",Google Professional Data Engineer,57,6.0,4,N,None,1,312,Campus,4,no_enrollment,No,20.67L,2540000,Immediate joiner,,54.8
CH-VWZC06,Abhilasha Khaitan,abhilasha.khaitan174@gmail.com,+91 6143640092,28,2023,KIET Group of Institutions,BCA,,Ahmedabad,Frontend Engineer,Frontend Engineer I,Trainee (0.3 yrs) -> Apprentice (0.4 yrs) -> Associate Frontend Engineer (1.1 yrs),1.9,1,,,API design; Java Script; SpringBoot; docker; c plus plus; React; html; TS; GraphQL; Kotlin,,53,8.1,1/5,N,0,1,118,Employee Referral,never,no_enrollment,No,INR 12.6 lakh,14.66L,Serving notice - 30 days,,59.3
CH-Q5XNO4,Mohini Thakkar,mohini.thakkar308@rediffmail.com,+91 7111544257,40,2020,RMK Engineering College,M.Tech,STEM,Visakhapatnam,QA Automation Engineer,QA Engineer II,Associate QA Engineer [34 mo] → QA Engineer [7 mo] → QA Engineer [24 mo],5.4 years,1,Funded Startup,10/49,selenium; Golang; Python; JAVA; T-SQL; Torch; ci-cd; Git,AWS Certified Solutions Architect,76,9.3,3,Y,-,3,11,Walk-in,1,Full time course,No,16.00L,2281000,30 days,Open to weekend shifts.,77.2
CH-F8S7OP,Anshika Jahagirdar,anshika.jahagirdar839@rediffmail.com,+91 9532502062,35,2011,Karunya Institute Of Technology,Diploma,Other,Gurugram,Frontend Engineer,Sr. Frontend Engineer,Associate Frontend Engineer (4.6y) -> Junior Frontend Engineer (2.2y) -> Sr. Frontend Engineer (5.2y),145 months,1,Pvt Ltd,10/49,"ES6,Golang,GitHub,html,tensorflow,spring",Azure Fundamentals,37/100,3.5,3,no,-,3,28,Referral,1,no_enrollment,No,32.6 LPA,37.9 LPA,45 days,,31.1
CH-STBV4G,Abhigyan Jaitley,abhigyan.jaitley554@gmail.com,+91 8709645634,39,2023,Indian Institute of Technology Kanpur,Master of Technology,,Thiruvananthapuram,Frontend Engineer,Junior Frontend Engineer,Intern (0.4y) -> Junior Frontend Engineer (0.6y) -> Associate Frontend Engineer (0.9y),2.0 years,1,,,"JavaScript,Vue,GraphQL,MongoDB,REST,SCSS,React,typescript",NPTEL DSA (Elite); Google Professional Data Engineer,66,8.4,3,1,0,1,21,Campus,never,no_enrollment,No,1496000,17.23L,60 days,Open to weekend shifts.,43.9
CH-R7Y0WY,Anjana Valmiki,anjana.valmiki228@rediffmail.com,+91 7616441896,34,2013,Gandhi Institute of Technology and Managment,B.Tech,STEM,Ranchi,Product Analyst,Senior Product Analyst,Trainee Product Analyst [9 mo] | Product Analyst [88 mo] | Product Analyst III [22 mo],9.9 years,2,Pvt Ltd,100-500,Advanced Excel | Spring Boot | stats | Structured Query Language | tableau | kubernetes,NPTEL DSA (Elite),56,6.7,3,No,None,1,4,Job Portal,4,no_enrollment,No,"₹28,75,000",4167000,30 days,Has a pre-planned vacation next month. Needed frequent guidance during design discussions.,35.7
CH-YJ44K6,Avichal Kedia,avichal.kedia613@gmail.com,+91 7893297905,39,2011,Pondicherry University,PhD,STEM,Pune,ML Engineer,Principal ML Engineer,ML Engineer I (2.8y) -> Trainee ML Engineer (2.8y) -> Junior ML Engineer (2.9y) -> Staff ML Engineer (0.6y) -> Principal ML Engineer (1.9y) -> AI Manager (3.6y),176 months,4,,,"PyTorch, Kubernetes, Graph QL, MLOps, Apache Airflow, docker",,75,6.4,4/5,0,0,1,158,Direct,1,no_enrollment,Yes,42.1 LPA,5.29 Cr,60 days,Interested in the Bengaluru office. Reference check was lukewarm about teamwork.,46.0
CH-YXBNUN,Arjun Mishra,arjun.mishra537@yahoo.co.in,+91 7823372399,35,2011,Sri Chandrasekharendra Saraswathi Viswa Mahavidyalaya,MS,STEM,Kolkata,Frontend Engineer,Senior Frontend Engineer,Associate Frontend Engineer (1.9y) | Junior Frontend Engineer (2.0y) | Associate Frontend Engineer (1.9y) | Frontend Engineer III (4.5y),10+ yrs,1,Pvt Ltd,500-999,"cypress,Structured Query Language,JavaScript,CSS,Django,Flutter,React Native,GraphQL,GitHub Actions",CKA,82,5.4,5,TRUE,None,2,67,Direct,1,no_enrollment,No,1534000,20.5 LPA,45 days,Consistently delivered ahead of sprint commitments. Enquired about ESOPs.,61.4
CH-PCYZ2I,Premchand Sahu,premchand.sahu854@outlook.com,+91 6187970800,33,2017,Indian Institute of Technology Kharagpur,B.E.,STEM,Chennai,Product Analyst,Product Analyst,Trainee Product Analyst (1.1 yrs) | Associate Product Analyst (4.7 yrs) | Product Analyst II (3.3 yrs),9.1 years,1,,,"Tableau, Spark, numpy, Scikit Learn, AWS, python 3, MySQL, Statistical Modelling",Scrum Master (CSM),56,4.5,Meets Expectations,N,None,1,52,Direct,1,no_enrollment,No,37.0 LPA,5276000,30 days,Reference check was lukewarm about teamwork.,71.8
CH-FV9JCM,Mithilesh Dave,mithilesh.dave341@outlook.com,+91 8181620830,34,2013,Indian Institute of Technology Kanpur,B.Tech,STEM,Gurgaon,Product Analyst,Sr. Product Analyst,Product Analyst I [35 mo] → Product Analyst II [13 mo] → Product Analyst I [19 mo] → Product Analyst [16 mo] → Product Analyst [10 mo] → Senior Product Analyst [2 mo] → Senior Product Analyst [5 mo],8.2 yrs,1,Pvt Ltd,1000-4999,"sql, Vue.js, Python",Coursera ML Specialization,44/100,3.4,1,N,None,1,26,Walk-in,2,no_enrollment,No,34.2 LPA,64.72L,2 months,Asked about relocation support.,12.8
CH-DXNNX0,Mahesh Hazari,mahesh.hazari205@outlook.com,+91 8234332802,32,2020,Anna University,Bachelor of Technology,STEM,Ranchi,Frontend Engineer,Sr. Frontend Engineer,Associate Frontend Engineer (0.9y) | Junior Frontend Engineer (1.6y) | Senior Frontend Engineer (1.6y) | Senior Frontend Engineer (1.6y),5.7 years,2,,1000-4999,"Angular,Dockerization,JS,CSS3,Java 8,html",,65,5.1,3,No,-,1,68,Job Portal,1,Full time course,Yes,1353000,17.15L,15 days,Mentored two junior engineers; strong communicator.,77.4
CH-KO6N5N,Tanishka Bendre,tanishka.bendre651@outlook.com,+91 6506693538,54,2013,Amravati University,BCA,STEM,Ahmedabad,Frontend Engineer,Engineering Manager,Frontend Engineer Intern (6.4y) | Trainee (0.6y) | Intern (2.2y) | Tech Lead (1.2y) | Engineering Manager (1.5y) | Principal Frontend Engineer (0.4y),12.3,1,Pvt Ltd,10/49,"Java Script,HTML,css,Type Script,react-native,Dart/Flutter,IaC (Terraform),ReactJS",,71/100,4.6,3,0,0,1,100,LinkedIn,1,no_enrollment,Yes,4357000,"₹66,56,000",2 months,Enquired about ESOPs. Struggled with the debugging exercise.,45.9
CH-YA45B4,Subhashini Raina,subhashini.raina4@hotmail.com,+91 6181063361,42,2005,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Btech,STEM,Pune,DevOps / SRE,Head of Infrastructure,DevOps Engineer Intern (2.8 yrs) → Trainee (6.2 yrs) → DevOps Engineer (4.7 yrs) → Head of Infrastructure (1.7 yrs) → VP Infrastructure (3.5 yrs) → Head of Infrastructure (5.4 yrs) → Head of Infrastructure (3.3 yrs),19.7,4,Pvt Ltd,10000+,linux; React Native; Google Cloud; Jenkins; flask; HCL; aws; NumPy; Kubernetes; Docker,PMP,93,3.9,1.0,FALSE,0,5,22,Campus,1,no_enrollment,Yes,42.5 LPA,"₹40,69,000",45 days,Shipped a feature used by 1M+ users. Hiring manager flagged excellent system-design round.,0.0
CH-BVEA6S,Pankaj Mandal,pankaj.mandal10@yahoo.co.in,+91 6555565679,36,2012,National Institute of Technology Warangal,MS,STEM,Delhi NCR,Data Engineer,"Director, Data Platform",Junior Data Engineer (1.6 yrs) → Data Engineer I (1.0 yrs) → Data Engineer III (1.2 yrs) → Data Engineer III (2.3 yrs) → Tech Lead (1.6 yrs) → Principal Data Engineer (2.6 yrs) → VP Data Platform (0.8 yrs) → Head of Data Platform (2.7 yrs),14.0 yrs,5,Pvt Ltd,10000+,"workflow orchestration (Airflow),Statistics,event streaming (Kafka),Power BI,IaC (Terraform)",Oracle Java SE,42,,2,no,0,1,16,Walk-in,2,Part time course,No,43.5 LPA,"₹60,45,000",0 days,Has a pre-planned vacation next month.,37.8
CH-TOF5XU,Ratan Kulkarni,ratan.kulkarni294@rediffmail.com,+91 9657852363,39,2020,Tumkur University,B.E.,No Major,Ranchi,Product Analyst,Trainee Product Analyst,Intern (1.0y) | Junior Product Analyst (0.7y),1.7 yrs,1,,,"tableau, power bi, MS Excel, microservice architecture, AWS (EC2/S3), sql",Coursera ML Specialization; Databricks Associate,40,6.9,3,yes,0,3,18,Sourcing,1,no_enrollment,No,5.12L,647000,30 days,Asked about relocation support.,23.1
CH-A9XV3Y,Ramchandra Umrao,ramchandra.umrao420@gmail.com,+91 6519773484,42,2012,SRM Institute Of Science & Technology,B.Sc,STEM,Calcutta,DevOps / SRE,DevOps Engineer,DevOps Engineer I (3.1 yrs) | DevOps Engineer (4.0 yrs) | DevOps Engineer (3.8 yrs) | DevOps Engineer II (2.3 yrs),13+ yrs,4,Pvt Ltd,1000-4999,terraform | AWS | linux,,44,4.4,4,No,None,1,51,Direct,>4,no_enrollment,No,INR 29.6 lakh,4144000,30 days,Hiring manager flagged excellent system-design round. Asked about relocation support.,41.9
CH-S4K4HK,Udit Saha,udit.saha200@outlook.com,+91 8162808135,31,2019,Jaypee Institute of Information Technology,B.Sc,Humanities,Gurgaon,DevOps / SRE,Sr. DevOps Engineer,Junior DevOps Engineer (1.6 yrs) -> Trainee DevOps Engineer (0.8 yrs) -> DevOps Engineer (0.5 yrs) -> DevOps Engineer II (2.0 yrs) -> DevOps Engineer (1.1 yrs) -> Senior DevOps Engineer (0.7 yrs),6+ yrs,4,Pvt Ltd,10000+,Redis | CI/CD | AWS (EC2/S3),,49,7.8,4,FALSE,0,1,20,Sourcing,1,no_enrollment,No,1940000,"$24,920",30 days,Asked about relocation support.,41.1
CH-OTSDBS,Sonu Priyadarshini,sonu.priyadarshini64@yahoo.co.in,+91 6961295222,27,2022,"National Institute of Technology Karnataka, Surathkal",Btech,STEM,Chennai,Backend Engineer,Trainee Software Engineer,Intern (0.2y) > Software Engineer I (2.5y),31 months,1,,,"RN, Apache Kafka, psql, python 3, MySQL",ISTQB Foundation,60,5.0,2/5,Y,None,1,54,Direct,1,Full time course,No,8.3 LPA,1156000,30 days,Open to weekend shifts.,34.7
CH-KCJOZF,Asha Bharadwaj,asha.bharadwaj722@hotmail.com,+91 9378732659,49,2001,Gujarat Technological University Ahmedabad,B.E.,STEM,Nagpur,QA Automation Engineer,QA Engineer I,Trainee QA Engineer [301 mo],>20,6,,,sql | ci-cd | cypress.io,TensorFlow Developer; Azure Fundamentals,56,51%,3,N,None,5,98,Direct,>4,no_enrollment,No,3649000,"₹45,63,000",15 days,,42.2
CH-CFE8Q3,Vishwas Nath,vishwas.nath944@gmail.com,+91 6301547055,47,2003,Indian Institute of Technology Roorkee,M.Sc,STEM,Pune,Product Analyst,"Director, Product","Trainee Product Analyst [18 mo] | Product Analyst I [7 mo] | Product Analyst [22 mo] | Product Analyst II [20 mo] | Sr. Product Analyst [91 mo] | Lead Product Analyst [35 mo] | Manager - Product [10 mo] | Product Manager [64 mo] | Director, Product [12 mo]",23 years,1,Pvt Ltd,1000-4999,"Advanced Excel,django,Dockerization,Tableau,tensorflow",Databricks Associate; Azure Fundamentals,46.0 %,5.7,3,0,0,1,30,LinkedIn,1,no_enrollment,Yes,59.9 LPA,"₹1,00,16,000",15 days,Interested in the Bengaluru office.,41.5
CH-L6I6VI,Jayesh Jaitley,jayesh.jaitley107@outlook.com,+91 7498375299,45,2003,Indian Institute of Technology Kharagpur,PhD,STEM,Pune,Full Stack Engineer,Head of Engineering,Associate Full Stack Developer (4.7 yrs) → Junior Full Stack Developer (8.7 yrs) → Full Stack Developer I (0.9 yrs) → Engineering Manager (1.7 yrs) → Engineering Manager (1.9 yrs) → VP Engineering (5.0 yrs),>20,4,,,node js; MySQL; PostgreSQL; REST; React; Docker; javascript,,77,50%,Meets Expectations,no,0,2,49,Sourcing,4,no_enrollment,No,5958000,"₹79,17,000",30 days,,95.2
CH-4M0PLG,Riti Kapoor,riti.kapoor670@yahoo.co.in,+91 8142926876,33,2014,Delhi Technological University,B.E.,No Major,Pune,DevOps / SRE,DevOps Engineer III,Apprentice [24 mo] > DevOps Engineer I [46 mo] > Trainee [46 mo] > Sr. DevOps Engineer [9 mo],10.4,1,Pvt Ltd,<10,Amazon Web Services; Kubernetes; containers (docker); IaC (Terraform); GitHub Actions; Linux,ISTQB Foundation,46,7.2,3,Y,-,1,105,Walk-in,1,no_enrollment,No,INR 20.9 lakh,3066000,15 days,Strong ownership; drove a cross-team initiative.,61.6
CH-EP9O79,Sujan Dey,sujan.dey358@rediffmail.com,+91 7248964551,36,2012,  IIT Delhi ,BCA,STEM,Gurgaon,Mobile Engineer,Lead Mobile Developer,Trainee Mobile Developer (3.0 yrs) → Junior Mobile Developer (3.1 yrs) → Trainee Mobile Developer (3.3 yrs) → Sr. Mobile Developer (2.5 yrs) → Lead Mobile Developer (1.7 yrs),163 months,2,Pvt Ltd,10000+,TypeScript | Vue | Dart/Flutter | NodeJS | python | Android | RN,Oracle Java SE; NPTEL DSA (Elite),56,5.8,Meets Expectations,No,0,1,290,Walk-in,>4,no_enrollment,No,35.05L,51.1 LPA,1 month,,51.0
CH-N6WHUA,Yashika Jadhav,yashika.jadhav670@hotmail.com,+91 8659411680,39,2018,"Indian Institute of Information Technology, Kota",MCA,STEM,Hyderabad,Full Stack Engineer,Full Stack Developer,Intern (2.9 yrs) > Apprentice (3.1 yrs) > Junior Full Stack Developer (1.0 yrs) > Full Stack Developer (0.3 yrs),7.3,5,Public Sector,1000-4999,"NodeJS,rest api",,46,4.0,5,N,-,1,55,Other,1,no_enrollment,No,INR 16.3 lakh,20.6 LPA,1 month,Communication in the panel round was unclear. Handled 24x7 on-call for core APIs; led root-cause analysis for outages.,56.6
CH-9N6AI7,Garima Batra,garima.batra691@hotmail.com,+91 7847235936,33,2016,Indian Institute of Technology Delhi,Master of Technology,STEM,Lucknow,Data Scientist,Data Scientist,Associate Data Scientist (6.6 yrs) | Data Scientist (2.4 yrs),9.1 yrs,1,Pvt Ltd,5000-9999,"SciKit-Learn,split testing,MySQL,hypothesis testing,python 3,Pandas",,34,4.3,4,N,0,3,14,Direct,,no_enrollment,Yes,3009000,46.34L,1 month,Prefers hybrid work.,45.7
CH-9G3S1E,Chintamani Mantri,chintamani.mantri478@gmail.com,+91 9186626926,47,2006,"National Institute of Technology Karnataka, Surathkal",BCA,STEM,Indore,Full Stack Engineer,VP Engineering,"Intern [20 mo] | Associate Full Stack Developer [18 mo] | Sr. Full Stack Developer [61 mo] | Full Stack Developer Lead [40 mo] | Principal Full Stack Developer [7 mo] | Director, Engineering [40 mo] | VP Engineering [43 mo]",19.1 yrs,7,Pvt Ltd,500-999,"SwiftUI,Java Script,react js,cypress,MySQL,TypeScript,rest api,containers (docker),Node.js,fastapi,Tableau,RN,Graph QL",ISTQB Foundation,71,5.9,Meets Expectations,1,0,1,41,Referral,>4,no_enrollment,No,"₹49,45,000","$73,408",60 days,Has a pre-planned vacation next month. Primary on-call owner for the payments service; wrote most runbooks.,51.6
CH-SKTF09,Raghu Khattar,raghu.khattar262@yahoo.co.in,+91 8288209524,42,2004,Indian Institute of Science,Bachelor of Technology,STEM,Pune,Backend Engineer,Head of Engineering,Software Engineer Intern [49 mo] -> Junior Software Engineer [19 mo] -> Senior Software Engineer [27 mo] -> Senior Software Engineer [46 mo] -> Software Engineer Lead [40 mo] -> Head of Engineering [34 mo] -> Head of Engineering [13 mo],228 months,6,Pvt Ltd,10000+,REST APIs; React,Coursera ML Specialization; Databricks Associate,51,8.2,1,FALSE,None,3,92,Campus,>4,no_enrollment,No,"₹47,24,000",INR 76.0 lakh,1 month,,58.5
CH-KDUBMH,A. Bisht,aseembisht863@outlook.com,8600747121,31,2016,National Institute of Technology Calicut,B.Sc,STEM,Hyderabad,Frontend Engineer,Tech Lead,Intern (0.5 yrs) | Apprentice (1.6 yrs) | Apprentice (0.7 yrs) | Frontend Engineer Intern (1.5 yrs) | Trainee Frontend Engineer (0.9 yrs) | Frontend Engineer Lead (1.9 yrs) | Lead Frontend Engineer (0.7 yrs) | Frontend Engineer Lead (1.0 yrs),8+ yrs,1,,,"spring, JS, graphql, CSS, HTML5, Redis, react js, Express/Node",,72,5.9,3/5,TRUE,0,1,44,Campus,1,no_enrollment,Yes,"$36,166",INR 55.0 lakh,1 month,,23.6
CH-6A99U5,Rohit Adarsh,rohit.adarsh329@yahoo.co.in,+91 9241533453,45,2001,University of Mumbai,Bachelor of Technology,STEM,Gurgaon,Frontend Engineer,Head of Engineering,"Frontend Engineer Intern (0.5 yrs) > Frontend Engineer Intern (2.4 yrs) > Apprentice (4.3 yrs) > Junior Frontend Engineer (2.6 yrs) > Senior Frontend Engineer (3.0 yrs) > Head of Engineering (2.8 yrs) > Director, Engineering (1.6 yrs) > Director, Engineering (5.4 yrs)",20+ years,1,,,"stats, Spring Boot, CSS, CPP",Oracle Java SE; Coursera ML Specialization; AWS Certified Solutions Architect,26,2.4/10,3,Yes,0,1,28,Job Portal,>4,no_enrollment,No,55.84L,56.2 LPA,1 month,,1.7
CH-NKC59S,Tara Balyan,tara.balyan775@yahoo.co.in,+91 6871513026,29,2018,University of Hyderabad,12th,STEM,Noida,Frontend Engineer,Frontend Engineer,Frontend Engineer I (1.3y) -> Frontend Engineer (1.4y) -> Frontend Engineer II (2.9y),5.6 yrs,3,Public Sector,100-500,"Cypress, microservice architecture, html, FastAPI, GraphQL, Golang, PostgreSQL",Databricks Associate,69,6.5,1,Y,1,2,8,Direct,,Full time course,No,20.5 lpa,"₹23,62,000",Immediate,,17.3
CH-8V4WBP,Anushree Ojha,anushree.ojha116@yahoo.co.in,+91 7981191521,36,2020,"National Institute of Technology Karnataka, Surathkal",B.Tech,STEM,Madras,Product Analyst,Product Analyst,Junior Product Analyst (0.9 yrs) -> Product Analyst (2.2 yrs) -> Product Analyst (2.3 yrs),5.3 years,1,Funded Startup,100-500,"kafka, Tableau, Statistical Modelling, tensorflow, Flask, python 3, experimentation",Google Professional Data Engineer; CKA,84,6.9,2,0,-,1,18,LinkedIn,1,no_enrollment,Yes,INR 18.1 lakh,17.5 lpa,0 days,Enquired about ESOPs. Reference check was lukewarm about teamwork.,66.9
